1.78E-08,1.83E-07
1.77E-08,1.63E-07
1.77E-08,1.36E-07
1.77E-08,1.04E-07
1.76E-08,7.77E-08
1.76E-08,5.53E-08
1.75E-08,4.48E-08
1.74E-08,3.16E-08
1.72E-08,2.39E-08
1.71E-08,1.82E-08
1.70E-08,1.43E-08
1.70E-08,1.06E-08
1.70E-08,8.11E-09
1.69E-08,6.38E-09
1.68E-08,5.12E-09
1.68E-08,4.15E-09
1.69E-08,3.47E-09
1.68E-08,2.73E-09
1.67E-08,2.28E-09
1.67E-08,1.85E-09
1.68E-08,1.67E-09
1.68E-08,1.47E-09
1.68E-08,1.25E-09
1.68E-08,1.06E-09
1.69E-08,8.64E-10
1.68E-08,7.22E-10
1.68E-08,5.85E-10
1.68E-08,4.84E-10
1.68E-08,4.08E-10
1.68E-08,3.44E-10
1.68E-08,2.74E-10
1.68E-08,2.31E-10
1.68E-08,1.91E-10
1.68E-08,1.68E-10
1.68E-08,1.44E-10
1.68E-08,1.22E-10
1.68E-08,9.97E-11
1.67E-08,8.41E-11
1.68E-08,6.96E-11
1.70E-08,6.05E-11
1.71E-08,5.70E-11
1.72E-08,5.26E-11
1.74E-08,5.10E-11
1.78E-08,5.00E-11
1.82E-08,4.95E-11
1.84E-08,5.26E-11
1.86E-08,5.70E-11
1.88E-08,6.49E-11
1.89E-08,7.46E-11
1.89E-08,8.50E-11
1.89E-08,1.02E-10
1.89E-08,1.23E-10
1.88E-08,1.40E-10
1.89E-08,1.61E-10
1.89E-08,1.87E-10
1.89E-08,2.31E-10
1.89E-08,2.85E-10
1.89E-08,3.38E-10
1.89E-08,3.92E-10
1.89E-08,4.60E-10
1.89E-08,5.62E-10
1.88E-08,6.66E-10
1.89E-08,7.98E-10
1.89E-08,1.03E-09
1.89E-08,1.28E-09
1.89E-08,1.48E-09
1.89E-08,1.83E-09
1.90E-08,2.17E-09
1.89E-08,2.67E-09
1.88E-08,3.17E-09
1.88E-08,3.76E-09
1.88E-08,4.63E-09
1.88E-08,5.60E-09
1.87E-08,7.19E-09
1.87E-08,8.96E-09
1.86E-08,1.09E-08
1.86E-08,1.38E-08
1.85E-08,1.63E-08
1.85E-08,2.08E-08
1.84E-08,2.51E-08
1.82E-08,3.29E-08
1.82E-08,4.18E-08
1.81E-08,5.58E-08
1.80E-08,7.31E-08
1.80E-08,8.84E-08
1.79E-08,1.06E-07
1.79E-08,1.32E-07
1.79E-08,1.58E-07
1.79E-08,1.78E-07
1.78E-08,1.83E-07
